Date,EGIE3,ITSA4,BBDC4,BBSE3
6/11/2015,27.879999,7.0443,17.7561,33.57
6/12/2015,27.200001,7.02788,17.4055,33.029999
6/15/2015,27.08,7.10177,17.336599,32.799999
6/16/2015,26.959999,7.33986,17.7248,33.400002
6/17/2015,26.591999,7.22492,17.3491,33.299999
6/18/2015,27.440001,7.44659,18.0002,34.110001
6/19/2015,27.384001,7.32344,17.6371,33.860001
6/22/2015,27.32,7.36449,17.8062,34.200001
6/23/2015,27.360001,7.36449,17.9189,34.400002
6/24/2015,27.200001,7.34807,18.031601,34.41
6/25/2015,26.896,7.22492,17.969,35.439999
6/26/2015,27.4,7.38091,18.231899,34.849998
6/29/2015,27.200001,7.2906,17.7435,34.779999
6/30/2015,27.351999,7.31523,17.7999,34.02
7/1/2015,27.4,7.29881,17.7435,34.27
7/2/2015,27.559999,7.42196,18.0942,34.439999
7/3/2015,27.68,7.29881,17.8876,33.959999
7/6/2015,27.848,7.23313,17.5369,33.93
7/7/2015,28.08,7.19208,17.3804,33.799999
7/8/2015,28.48,7.19208,17.1112,33.099998
7/10/2015,28.888,7.3727,17.8437,33.650002
7/13/2015,29.32,7.38091,18.156799,33.939999
7/14/2015,29.68,7.38091,18.269501,33.799999
7/15/2015,29.559999,7.33165,18.181801,33.950001
7/16/2015,29.719999,7.33165,18.0942,33.57
7/17/2015,29.200001,7.22492,18.0441,33.060001
7/20/2015,28.656,7.24134,17.693501,32.610001
7/21/2015,29.6,7.23313,17.4681,32.849998
7/22/2015,29.544001,7.1264,17.248899,32.200001
7/23/2015,28.656,6.75694,16.5853,30.389999
7/24/2015,27.983999,6.56811,16.7355,30.43
7/27/2015,27.976,6.56811,16.967199,30.34
7/28/2015,27.624001,6.63379,17.1425,30.959999
7/29/2015,28.128,6.77336,17.286501,31.49
7/30/2015,28.48,6.68305,16.841999,31.98
7/31/2015,29,6.89651,17.205099,32.209999
8/3/2015,28.775999,6.92114,16.472601,32.02
8/4/2015,28.799999,6.73231,16.309799,31.459999
8/5/2015,28.32,6.70768,16.2409,30.809999
8/6/2015,28.08,6.56811,16.309799,30
8/7/2015,27.84,6.36286,15.8527,30.120001
8/10/2015,27.976,6.44496,16.059299,31.879999
8/11/2015,27.92,6.36286,16.3286,32.889999
8/12/2015,27.76,6.33823,15.5835,31.059999
8/13/2015,27.823999,6.22328,15.2141,30.49
8/14/2015,27.832001,6.20686,15.1327,30.17
8/17/2015,27.799999,6.16581,14.876,30.280001
8/18/2015,27.927999,6.11655,15.1766,31.200001
8/19/2015,27.992001,6.02624,14.7195,30.959999
8/20/2015,27.6,6.00982,14.6381,30.1
8/21/2015,26.775999,5.96056,14.4753,29.719999
8/24/2015,26.040001,5.83741,14.4127,29
8/25/2015,26,5.84562,14.156,28.700001
8/26/2015,26.992001,6.19044,15.0764,29.629999
8/27/2015,27.200001,6.37928,15.5021,30.25
8/28/2015,26.912001,6.17402,15.0075,29.700001
8/31/2015,26.832001,5.97698,14.4315,28.700001
9/1/2015,26.040001,5.91951,14.0183,27.77
9/2/2015,25.664,5.96056,14.2625,27.549999
9/3/2015,26.327999,6.14118,14.6193,28.469999
9/4/2015,25.6,5.9934,13.9995,27.370001
9/8/2015,25.968,6.02624,14.3251,26.6
9/9/2015,26.120001,6.09192,14.4941,25.950001
9/10/2015,26.200001,5.9113,14.1811,25.48
9/11/2015,26.448,6.0755,14.0245,26.950001
9/14/2015,27.879999,6.37107,14.6506,27.950001
9/15/2015,27.232,6.33002,14.9324,27.790001
9/16/2015,27.608,6.46138,15.4896,28.690001
9/17/2015,27.76,6.4778,15.4458,28.120001
9/18/2015,26.959999,6.19865,14.6068,26.809999
9/21/2015,26.856001,6.04266,14.156,26.200001
9/22/2015,26.552,6.11655,14.2124,25.559999
9/23/2015,26.112,5.9113,13.7303,24.91
9/24/2015,26.040001,5.87025,13.8931,25.15
9/25/2015,26.136,5.7471,13.5737,25
9/28/2015,25.76,5.76352,13.2357,24.379999
9/29/2015,26.24,5.76352,13.1543,24
9/30/2015,27.007999,5.86204,13.411,24.809999
10/1/2015,26.4,5.92772,13.5925,25.059999
10/2/2015,26.76,6.09192,14.0934,26.67
10/5/2015,26.559999,6.23149,14.5066,26.959999
10/6/2015,26.360001,6.3218,14.6444,26.98
10/7/2015,26.296,6.51885,15.1703,28.299999
10/8/2015,26.559999,6.54348,15.1828,28.26
10/9/2015,26.32,6.59274,15.02,29.290001
10/13/2015,26.280001,6.33823,14.1999,28.85
10/14/2015,26.040001,6.19044,14.1247,28.200001
10/15/2015,26.568001,6.16581,14.0746,28.209999
10/16/2015,26.944,6.05908,13.8054,28.700001
10/19/2015,27.104,6.17402,13.7866,29.16
